,ticket_id,match_id,user_id,user_name,user_email,ticket_type,quantity,stadium,price,purchase_timestamp
0,f3603aff-ac80-4341-bc27-be7342825626,M38,FIFAW26000000,Danielle Johnson,john21@hotmail.com,GA,6,BC Place,5262.0,2026-06-29 19:18:09
1,a7e4a99f-5033-4ec9-a229-3df7550deb87,M22,FIFAW26000001,Joy Gardner,fjohnson@gmail.com,GA,7,MetLife Stadium,6811.0,2026-05-20 03:57:19
2,fe06d027-4a25-48d3-879f-4c2f72bb7f7e,M19,FIFAW26000002,Jesse Guzman,jennifermiles@yahoo.com,GA,6,BC Place,5262.0,2026-06-01 16:42:28
3,cfad8f39-98ba-4517-8867-c33c59ed1cd6,M18,FIFAW26000003,Jeffrey Lawrence,blakeerik@yahoo.com,Student,2,BC Place,1227.8,2026-05-12 21:40:41
4,3682996b-2805-4a75-b81d-d3ba28e0d857,M11,FIFAW26000004,Matthew Moore,curtis61@yahoo.com,Student,2,Lumen Field,827.4,2026-06-01 13:18:10
5,d51a6469-0518-401f-9625-f9e8ea28a897,M50,FIFAW26000005,Melanie Munoz,blairamanda@yahoo.com,Student,7,Mercedes-Benz Stadium,3283.0,2026-07-28 03:29:27
6,74982c47-846c-458e-b389-a89151e41052,M47,FIFAW26000006,Christian Carter,barbara10@hotmail.com,GA,3,Mercedes-Benz Stadium,2010.0,2026-08-31 12:24:34
7,572822a6-e507-46f8-9fae-0ce16e5f3567,M30,FIFAW26000007,Jeremy Roberts,wyattmichelle@yahoo.com,VIP,8,SoFi Stadium,8756.8,2026-06-22 16:20:58
8,259b5265-80ed-4eb8-afb9-13106b904ee2,M41,FIFAW26000008,Joshua Reid,francisco53@hotmail.com,Student,5,BC Place,3069.5,2026-07-06 01:50:37
9,e4b6f028-1307-4e97-8d9e-4c2e0e8fcce9,M3,FIFAW26000009,Joseph Zuniga,lynchgeorge@hotmail.com,GA,1,Mercedes-Benz Stadium,670.0,2026-05-01 03:24:59
10,ac59fb11-a2f7-4e84-92bc-6b778ffc9587,M21,FIFAW26000010,John Ford,veronica83@hotmail.com,GA,9,NRG Stadium,6390.0,2026-05-29 11:35:18
11,0ffd2861-9310-4785-9db5-1633e95ac954,M15,FIFAW26000011,Mark Tate,perezantonio@yahoo.com,GA,6,BMO Field,5400.0,2026-06-25 12:39:21
12,08b4b8ce-f825-4c41-b51e-de8371ed824b,M18,FIFAW26000012,Richard Jones,jason76@hotmail.com,VIP,8,BC Place,9120.8,2026-06-13 22:14:47
